Probe Set ID	Percentile
1553015_a_at	-65.3483
1553016_at	-70.5423
1553019_at	-94.4122
1553020_at	-75.3889
1553021_s_at	73.7893
1553022_at	-90.2552
1553023_a_at	4.17254
1553024_at	-78.6194
1553025_at	-61.0767
1553027_a_at	-61.4667
1553028_at	18.5534
1553030_a_at	-73.0413
1553031_at	-46.0486
1553032_at	-88.3559
1553033_at	-65.404
1553034_at	-27.3617
1553036_at	-98.4516
1553037_a_at	-98.9548
1553039_a_at	-94.8232
1553041_at	-76.6852
1553042_a_at	58.4569
1553043_a_at	95.7237
1553044_at	-73.0731
1553045_at	44.1875
1553046_s_at	24.2043
1553047_at	22.2426
1553048_a_at	-57.2672
1553051_s_at	49.7809
1553052_at	20.0961
1553053_at	46.4077
1553055_a_at	-82.2625
1553057_at	-74.181
1553058_at	26.713
1553059_at	-98.1747
1553060_at	43.4857
1553061_at	-74.5677
1553062_at	-48.0566
1553063_at	53.1501
1553064_at	26.2192
1553066_at	-73.5012
1553067_a_at	-39.7204
1553069_at	-87.456
1553070_a_at	21.2329
1553071_a_at	-97.3051
1553072_at	-62.2488
1553074_at	-74.8758
1553075_a_at	-82.5677
1553076_at	-94.6569
1553077_at	-68.758
1553078_at	-88.1806
1553079_at	-96.2162
1553080_at	-61.2298
1553081_at	-90.2675
1553082_at	60.7103
1553083_at	-90.0612
1553084_at	-53.6955
1553086_at	-80.3739
1553087_at	13.7861
1553088_a_at	26.8376
1553089_a_at	-82.5677
1553093_a_at	-70.4102
1553094_at	51.8209
1553096_s_at	64.0651
1553099_at	-81.2644
1553101_a_at	4.31373
1553102_a_at	73.2024
1553103_at	-22.4448
1553105_s_at	-38.7954
1553106_at	-28.6875
1553107_s_at	-19.6004
1553108_at	-39.3065
1553111_a_at	-23.6488
1553112_s_at	-59.1618
1553113_s_at	-12.5429
1553114_a_at	-50.8146
1553115_at	5.12073
1553117_a_at	94.7261
1553118_at	-17.9241
1553120_at	-47.5464
1553122_s_at	-30.7563
1553123_at	-88.4918
1553125_x_at	-87.8344
1553126_a_at	-62.7871
